Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Zone d'emploi (2020)),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
0051,Alençon,1968,51.2
0051,Alençon,1975,52.59
0051,Alençon,1982,53.65
0051,Alençon,1990,53.1
0051,Alençon,1999,53.65
0051,Alençon,2007,54.71
0051,Alençon,2008,54.76
0051,Alençon,2012,54.43
0051,Alençon,2013,54.42
0051,Alençon,2017,53.53
0051,Alençon,2018,53.17
0052,Arles,1968,51.76
0052,Arles,1975,55.53
0052,Arles,1982,60.41
0052,Arles,1990,64.06
0052,Arles,1999,65.77
0052,Arles,2007,69.42
0052,Arles,2008,70.12
0052,Arles,2012,71.74
0052,Arles,2013,72.3
0052,Arles,2017,73.51
0052,Arles,2018,72.84
0053,Avignon,1968,261.99
0053,Avignon,1975,292.19
0053,Avignon,1982,319.77
0053,Avignon,1990,344.69
0053,Avignon,1999,365.52
0053,Avignon,2007,398.17
0053,Avignon,2008,397.42
0053,Avignon,2012,403.42
0053,Avignon,2013,406.13
0053,Avignon,2017,415.06
0053,Avignon,2018,415.4
0054,Beauvais,1968,65.06
0054,Beauvais,1975,70.78
0054,Beauvais,1982,76.07
0054,Beauvais,1990,83.92
0054,Beauvais,1999,90.17
0054,Beauvais,2007,94.36
0054,Beauvais,2008,94.83
0054,Beauvais,2012,96.99
0054,Beauvais,2013,97.73
0054,Beauvais,2017,98.95
0054,Beauvais,2018,99.12
0055,Bollène-Pierrelatte,1968,74.73
0055,Bollène-Pierrelatte,1975,74.6
0055,Bollène-Pierrelatte,1982,89.55
0055,Bollène-Pierrelatte,1990,96.9
0055,Bollène-Pierrelatte,1999,101.44
0055,Bollène-Pierrelatte,2007,108.42
0055,Bollène-Pierrelatte,2008,110.09
0055,Bollène-Pierrelatte,2012,113.58
0055,Bollène-Pierrelatte,2013,113.63
0055,Bollène-Pierrelatte,2017,115.3
0055,Bollène-Pierrelatte,2018,115.44
0056,Cosne-Cours-sur-Loire,1968,29.24
0056,Cosne-Cours-sur-Loire,1975,28.37
0056,Cosne-Cours-sur-Loire,1982,27.75
0056,Cosne-Cours-sur-Loire,1990,27.25
0056,Cosne-Cours-sur-Loire,1999,26.48
0056,Cosne-Cours-sur-Loire,2007,26.58
0056,Cosne-Cours-sur-Loire,2008,26.54
0056,Cosne-Cours-sur-Loire,2012,26.08
0056,Cosne-Cours-sur-Loire,2013,26
0056,Cosne-Cours-sur-Loire,2017,24.98
0056,Cosne-Cours-sur-Loire,2018,24.68
0057,Dreux,1968,59.85
0057,Dreux,1975,69.47
0057,Dreux,1982,78.62
0057,Dreux,1990,92.12
0057,Dreux,1999,93.89
0057,Dreux,2007,99.07
0057,Dreux,2008,99.03
0057,Dreux,2012,101.31
0057,Dreux,2013,101.89
0057,Dreux,2017,102.51
0057,Dreux,2018,102.24
0058,La Vallée de la Bresle-Vimeu,1968,97.81
0058,La Vallée de la Bresle-Vimeu,1975,102.56
0058,La Vallée de la Bresle-Vimeu,1982,101.51
0058,La Vallée de la Bresle-Vimeu,1990,100.61
0058,La Vallée de la Bresle-Vimeu,1999,99.13
0058,La Vallée de la Bresle-Vimeu,2007,99.03
0058,La Vallée de la Bresle-Vimeu,2008,98.8
0058,La Vallée de la Bresle-Vimeu,2012,97.19
0058,La Vallée de la Bresle-Vimeu,2013,96.91
0058,La Vallée de la Bresle-Vimeu,2017,94.54
0058,La Vallée de la Bresle-Vimeu,2018,93.4
0059,Mâcon,1968,77.02
0059,Mâcon,1975,81.4
0059,Mâcon,1982,84.21
0059,Mâcon,1990,85.63
0059,Mâcon,1999,86.95
0059,Mâcon,2007,92.72
0059,Mâcon,2008,93.97
0059,Mâcon,2012,96.09
0059,Mâcon,2013,96.82
0059,Mâcon,2017,98.41
0059,Mâcon,2018,98.99
0060,Nevers,1968,44.34
0060,Nevers,1975,44.41
0060,Nevers,1982,43.86
0060,Nevers,1990,43.1
0060,Nevers,1999,41.98
0060,Nevers,2007,41.31
0060,Nevers,2008,41.2
0060,Nevers,2012,40.56
0060,Nevers,2013,40.24
0060,Nevers,2017,38.86
0060,Nevers,2018,38.65
0061,Nogent-le-Rotrou,1968,35.14
0061,Nogent-le-Rotrou,1975,35.52
0061,Nogent-le-Rotrou,1982,35.9
0061,Nogent-le-Rotrou,1990,36.13
0061,Nogent-le-Rotrou,1999,36.83
0061,Nogent-le-Rotrou,2007,37.65
0061,Nogent-le-Rotrou,2008,37.65
0061,Nogent-le-Rotrou,2012,37.5
0061,Nogent-le-Rotrou,2013,37.28
0061,Nogent-le-Rotrou,2017,35.9
0061,Nogent-le-Rotrou,2018,35.55
0062,Redon,1968,53.35
0062,Redon,1975,53.45
0062,Redon,1982,54.81
0062,Redon,1990,55.58
0062,Redon,1999,56.22
0062,Redon,2007,60.86
0062,Redon,2008,61.45
0062,Redon,2012,63.54
0062,Redon,2013,63.59
0062,Redon,2017,64.01
0062,Redon,2018,64.11
0063,Ussel,1968,24.36
0063,Ussel,1975,23.02
0063,Ussel,1982,21.93
0063,Ussel,1990,20.58
0063,Ussel,1999,19.04
0063,Ussel,2007,18.43
0063,Ussel,2008,18.37
0063,Ussel,2012,17.94
0063,Ussel,2013,17.83
0063,Ussel,2017,17.5
0063,Ussel,2018,17.37
0064,Valréas,1968,23.33
0064,Valréas,1975,24.36
0064,Valréas,1982,26.5
0064,Valréas,1990,28.33
0064,Valréas,1999,30.15
0064,Valréas,2007,32.33
0064,Valréas,2008,32.52
0064,Valréas,2012,32.09
0064,Valréas,2013,32.15
0064,Valréas,2017,32.34
0064,Valréas,2018,32.19
0101,Côte sous le vent,1968,136.37
0101,Côte sous le vent,1975,128.16
0101,Côte sous le vent,1982,132.82
0101,Côte sous le vent,1990,133.96
0101,Côte sous le vent,1999,141.99
0101,Côte sous le vent,2007,141.32
0101,Côte sous le vent,2008,141.51
0101,Côte sous le vent,2012,138.07
0101,Côte sous le vent,2013,135.74
0101,Côte sous le vent,2017,128.2
0101,Côte sous le vent,2018,126.9
0102,Est Grande Terre,1968,120.58
0102,Est Grande Terre,1975,121.06
0102,Est Grande Terre,1982,119.42
0102,Est Grande Terre,1990,130.57
0102,Est Grande Terre,1999,150.38
0102,Est Grande Terre,2007,161.36
0102,Est Grande Terre,2008,161.86
0102,Est Grande Terre,2012,168.66
0102,Est Grande Terre,2013,168.52
0102,Est Grande Terre,2017,159.59
0102,Est Grande Terre,2018,158.03
0103,Marie-Galante,1968,100.42
0103,Marie-Galante,1975,100.7
0103,Marie-Galante,1982,87.06
0103,Marie-Galante,1990,85.27
0103,Marie-Galante,1999,79.03
0103,Marie-Galante,2007,75.56
0103,Marie-Galante,2008,75.13
0103,Marie-Galante,2012,71.44
0103,Marie-Galante,2013,70.71
0103,Marie-Galante,2017,68.1
0103,Marie-Galante,2018,67.43
0104,Région Pointoise,1968,219.37
0104,Région Pointoise,1975,237.5
0104,Région Pointoise,1982,249.41
0104,Région Pointoise,1990,289.93
0104,Région Pointoise,1999,327.01
0104,Région Pointoise,2007,341.29
0104,Région Pointoise,2008,344.03
0104,Région Pointoise,2012,346.35
0104,Région Pointoise,2013,346.34
0104,Région Pointoise,2017,339.83
0104,Région Pointoise,2018,337.68
0105,Sud Basse-Terre,1968,258.81
0105,Sud Basse-Terre,1975,254.99
0105,Sud Basse-Terre,1982,239.15
0105,Sud Basse-Terre,1990,253.66
0105,Sud Basse-Terre,1999,255.44
0105,Sud Basse-Terre,2007,258.75
0105,Sud Basse-Terre,2008,255.99
0105,Sud Basse-Terre,2012,251.46
0105,Sud Basse-Terre,2013,249.06
0105,Sud Basse-Terre,2017,239.52
0105,Sud Basse-Terre,2018,238.45
0201,Le Centre-Atlantique,1968,278.87
0201,Le Centre-Atlantique,1975,288.23
0201,Le Centre-Atlantique,1982,277.66
0201,Le Centre-Atlantique,1990,305.56
0201,Le Centre-Atlantique,1999,338.21
0201,Le Centre-Atlantique,2007,352.66
0201,Le Centre-Atlantique,2008,351.77
0201,Le Centre-Atlantique,2012,336.99
0201,Le Centre-Atlantique,2013,332.25
0201,Le Centre-Atlantique,2017,316.69
0201,Le Centre-Atlantique,2018,312.64
0202,Le Centre agglomération,1968,816.77
0202,Le Centre agglomération,1975,863.51
0202,Le Centre agglomération,1982,909.83
0202,Le Centre agglomération,1990,958.94
0202,Le Centre agglomération,1999,971.63
0202,Le Centre agglomération,2007,982.29
0202,Le Centre agglomération,2008,977.33
0202,Le Centre agglomération,2012,948.11
0202,Le Centre agglomération,2013,941.7
0202,Le Centre agglomération,2017,912.8
0202,Le Centre agglomération,2018,904.77
0203,Le Nord-Atlantique,1968,158.82
0203,Le Nord-Atlantique,1975,149.98
0203,Le Nord-Atlantique,1982,138.69
0203,Le Nord-Atlantique,1990,139.25
0203,Le Nord-Atlantique,1999,138.01
0203,Le Nord-Atlantique,2007,130.64
0203,Le Nord-Atlantique,2008,129.33
0203,Le Nord-Atlantique,2012,122.88
0203,Le Nord-Atlantique,2013,121.63
0203,Le Nord-Atlantique,2017,115.06
0203,Le Nord-Atlantique,2018,112.84
0204,Le Nord-Caraibe,1968,114.57
0204,Le Nord-Caraibe,1975,110.71
0204,Le Nord-Caraibe,1982,100.72
0204,Le Nord-Caraibe,1990,110.99
0204,Le Nord-Caraibe,1999,111.6
0204,Le Nord-Caraibe,2007,113.17
0204,Le Nord-Caraibe,2008,113.11
0204,Le Nord-Caraibe,2012,111.34
0204,Le Nord-Caraibe,2013,111.3
0204,Le Nord-Caraibe,2017,108.51
0204,Le Nord-Caraibe,2018,107.37
0205,Le Sud,1968,223.03
0205,Le Sud,1975,215.95
0205,Le Sud,1982,211.38
0205,Le Sud,1990,238.91
0205,Le Sud,1999,255.58
0205,Le Sud,2007,279.29
0205,Le Sud,2008,279.47
0205,Le Sud,2012,268.57
0205,Le Sud,2013,264.98
0205,Le Sud,2017,255.71
0205,Le Sud,2018,252.72
0206,Le Sud-Caraibe,1968,167.79
0206,Le Sud-Caraibe,1975,160.76
0206,Le Sud-Caraibe,1982,172.62
0206,Le Sud-Caraibe,1990,217.99
0206,Le Sud-Caraibe,1999,266.27
0206,Le Sud-Caraibe,2007,303.05
0206,Le Sud-Caraibe,2008,308.51
0206,Le Sud-Caraibe,2012,317.93
0206,Le Sud-Caraibe,2013,318.39
0206,Le Sud-Caraibe,2017,310.59
0206,Le Sud-Caraibe,2018,308.18
0301,Est-littoral,1968,0.98
0301,Est-littoral,1975,1.23
0301,Est-littoral,1982,1.68
0301,Est-littoral,1990,2.27
0301,Est-littoral,1999,3.14
0301,Est-littoral,2007,3.93
0301,Est-littoral,2008,3.97
0301,Est-littoral,2012,4.18
0301,Est-littoral,2013,4.23
0301,Est-littoral,2017,4.76
0301,Est-littoral,2018,4.95
0302,Ouest-Guyanais,1968,0.2
0302,Ouest-Guyanais,1975,0.23
0302,Ouest-Guyanais,1982,0.28
0302,Ouest-Guyanais,1990,0.63
0302,Ouest-Guyanais,1999,0.92
0302,Ouest-Guyanais,2007,1.5
0302,Ouest-Guyanais,2008,1.61
0302,Ouest-Guyanais,2012,1.97
0302,Ouest-Guyanais,2013,2.04
0302,Ouest-Guyanais,2017,2.25
0302,Ouest-Guyanais,2018,2.31
0303,Savanes,1968,0.53
0303,Savanes,1975,0.68
0303,Savanes,1982,0.85
0303,Savanes,1990,1.59
0303,Savanes,1999,1.97
0303,Savanes,2007,2.61
0303,Savanes,2008,2.65
0303,Savanes,2012,2.58
0303,Savanes,2013,2.59
0303,Savanes,2017,2.57
0303,Savanes,2018,2.5
0401,L'Est,1968,83.29
0401,L'Est,1975,89.97
0401,L'Est,1982,100.99
0401,L'Est,1990,115.69
0401,L'Est,1999,138.35
0401,L'Est,2007,156.61
0401,L'Est,2008,159.28
0401,L'Est,2012,166.77
0401,L'Est,2013,169.4
0401,L'Est,2017,172.77
0401,L'Est,2018,172.42
0402,L'Ouest,1968,171.01
0402,L'Ouest,1975,204.75
0402,L'Ouest,1982,228.75
0402,L'Ouest,1990,276.76
0402,L'Ouest,1999,334.96
0402,L'Ouest,2007,377.63
0402,L'Ouest,2008,385.34
0402,L'Ouest,2012,395.68
0402,L'Ouest,2013,394.78
0402,L'Ouest,2017,395.35
0402,L'Ouest,2018,392.64
0403,Le Nord,1968,385.5
0403,Le Nord,1975,458.8
0403,Le Nord,1982,484.71
0403,Le Nord,1990,544.93
0403,Le Nord,1999,612.43
0403,Le Nord,2007,673.05
0403,Le Nord,2008,686.02
0403,Le Nord,2012,692.13
0403,Le Nord,2013,685.3
0403,Le Nord,2017,713.16
0403,Le Nord,2018,720.84
0404,Le Sud,1968,161.65
0404,Le Sud,1975,178.63
0404,Le Sud,1982,189.96
0404,Le Sud,1990,219.73
0404,Le Sud,1999,263.32
0404,Le Sud,2007,299.39
0404,Le Sud,2008,303.95
0404,Le Sud,2012,317.6
0404,Le Sud,2013,319.38
0404,Le Sud,2017,327.59
0404,Le Sud,2018,329.5
0601,Mayotte,1968,
0601,Mayotte,1975,
0601,Mayotte,1982,
0601,Mayotte,1990,
0601,Mayotte,1999,
0601,Mayotte,2007,
0601,Mayotte,2008,
0601,Mayotte,2012,
0601,Mayotte,2013,
0601,Mayotte,2017,
0601,Mayotte,2018,
1101,Cergy-Vexin,1968,327.84
1101,Cergy-Vexin,1975,410.7
1101,Cergy-Vexin,1982,489.05
1101,Cergy-Vexin,1990,602.46
1101,Cergy-Vexin,1999,644.78
1101,Cergy-Vexin,2007,673.44
1101,Cergy-Vexin,2008,676
1101,Cergy-Vexin,2012,693.26
1101,Cergy-Vexin,2013,698.48
1101,Cergy-Vexin,2017,724.08
1101,Cergy-Vexin,2018,732.21
1102,Coulommiers,1968,58.56
1102,Coulommiers,1975,62.69
1102,Coulommiers,1982,70.2
1102,Coulommiers,1990,81.98
1102,Coulommiers,1999,92.23
1102,Coulommiers,2007,99.09
1102,Coulommiers,2008,100.18
1102,Coulommiers,2012,105.31
1102,Coulommiers,2013,105.92
1102,Coulommiers,2017,107.6
1102,Coulommiers,2018,108.03
1103,Etampes,1968,73.65
1103,Etampes,1975,92.42
1103,Etampes,1982,103.09
1103,Etampes,1990,118.19
1103,Etampes,1999,126.71
1103,Etampes,2007,134.03
1103,Etampes,2008,134.59
1103,Etampes,2012,140.99
1103,Etampes,2013,142.33
1103,Etampes,2017,145.04
1103,Etampes,2018,144.87
1104,Evry,1968,362.97
1104,Evry,1975,538.85
1104,Evry,1982,618.81
1104,Evry,1990,737.58
1104,Evry,1999,779.1
1104,Evry,2007,838.25
1104,Evry,2008,843.11
1104,Evry,2012,869.62
1104,Evry,2013,881.83
1104,Evry,2017,908.66
1104,Evry,2018,908.1
1105,Fontainebleau-Nemours,1968,94.62
1105,Fontainebleau-Nemours,1975,103.42
1105,Fontainebleau-Nemours,1982,108.52
1105,Fontainebleau-Nemours,1990,119.06
1105,Fontainebleau-Nemours,1999,127.24
1105,Fontainebleau-Nemours,2007,130.38
1105,Fontainebleau-Nemours,2008,130.2
1105,Fontainebleau-Nemours,2012,130.35
1105,Fontainebleau-Nemours,2013,130.52
1105,Fontainebleau-Nemours,2017,132.28
1105,Fontainebleau-Nemours,2018,132.69
1106,Marne-la-Vallée,1968,194.28
1106,Marne-la-Vallée,1975,276.33
1106,Marne-la-Vallée,1982,361.62
1106,Marne-la-Vallée,1990,465.75
1106,Marne-la-Vallée,1999,532.58
1106,Marne-la-Vallée,2007,595.85
1106,Marne-la-Vallée,2008,606.67
1106,Marne-la-Vallée,2012,635.58
1106,Marne-la-Vallée,2013,641.31
1106,Marne-la-Vallée,2017,662.7
1106,Marne-la-Vallée,2018,667.39
1107,Meaux,1968,98.01
1107,Meaux,1975,127.05
1107,Meaux,1982,143.9
1107,Meaux,1990,172.24
1107,Meaux,1999,190.24
1107,Meaux,2007,205.24
1107,Meaux,2008,206.88
1107,Meaux,2012,218.66
1107,Meaux,2013,221.19
1107,Meaux,2017,228.26
1107,Meaux,2018,230.57
1108,Melun,1968,123.61
1108,Melun,1975,158.45
1108,Melun,1982,177.65
1108,Melun,1990,203.28
1108,Melun,1999,217.32
1108,Melun,2007,226.98
1108,Melun,2008,228.64
1108,Melun,2012,235.33
1108,Melun,2013,236.87
1108,Melun,2017,243.25
1108,Melun,2018,244.85
1109,Paris,1968,8667.13
1109,Paris,1975,8445.95
1109,Paris,1982,8148.61
1109,Paris,1990,8198.89
1109,Paris,1999,8230.67
1109,Paris,2007,8737.97
1109,Paris,2008,8787.88
1109,Paris,2012,8964.01
1109,Paris,2013,8991.19
1109,Paris,2017,9091.26
1109,Paris,2018,9111.84
1110,Provins,1968,39.75
1110,Provins,1975,39.99
1110,Provins,1982,42.26
1110,Provins,1990,46.43
1110,Provins,1999,50.14
1110,Provins,2007,53.19
1110,Provins,2008,53.75
1110,Provins,2012,55.08
1110,Provins,2013,55.16
1110,Provins,2017,55.17
1110,Provins,2018,55.1
1111,Rambouillet,1968,54.58
1111,Rambouillet,1975,72.45
1111,Rambouillet,1982,90.61
1111,Rambouillet,1990,107.53
1111,Rambouillet,1999,114.7
1111,Rambouillet,2007,121.48
1111,Rambouillet,2008,121.82
1111,Rambouillet,2012,123.28
1111,Rambouillet,2013,123.56
1111,Rambouillet,2017,125.35
1111,Rambouillet,2018,125.53
1112,Roissy,1968,949.47
1112,Roissy,1975,1140.57
1112,Roissy,1982,1200.67
1112,Roissy,1990,1308.42
1112,Roissy,1999,1359.86
1112,Roissy,2007,1437.02
1112,Roissy,2008,1442.52
1112,Roissy,2012,1458.53
1112,Roissy,2013,1467.48
1112,Roissy,2017,1511.67
1112,Roissy,2018,1519.23
1113,Saclay,1968,626.97
1113,Saclay,1975,888.64
1113,Saclay,1982,954.38
1113,Saclay,1990,1034.94
1113,Saclay,1999,1081.46
1113,Saclay,2007,1140.47
1113,Saclay,2008,1142.03
1113,Saclay,2012,1176.32
1113,Saclay,2013,1194.5
1113,Saclay,2017,1240.74
1113,Saclay,2018,1241.81
1114,Seine-Yvelinoise,1968,597
1114,Seine-Yvelinoise,1975,718.77
1114,Seine-Yvelinoise,1982,757.83
1114,Seine-Yvelinoise,1990,814.2
1114,Seine-Yvelinoise,1999,837.72
1114,Seine-Yvelinoise,2007,872.11
1114,Seine-Yvelinoise,2008,874.47
1114,Seine-Yvelinoise,2012,879.45
1114,Seine-Yvelinoise,2013,883.81
1114,Seine-Yvelinoise,2017,898
1114,Seine-Yvelinoise,2018,902.88
1115,Versailles-Saint-Quentin,1968,406.95
1115,Versailles-Saint-Quentin,1975,547.77
1115,Versailles-Saint-Quentin,1982,632.94
1115,Versailles-Saint-Quentin,1990,699.43
1115,Versailles-Saint-Quentin,1999,727.76
1115,Versailles-Saint-Quentin,2007,749.43
1115,Versailles-Saint-Quentin,2008,749.24
1115,Versailles-Saint-Quentin,2012,749.79
1115,Versailles-Saint-Quentin,2013,752.09
1115,Versailles-Saint-Quentin,2017,762.13
1115,Versailles-Saint-Quentin,2018,761.97
2401,Blois,1968,58.58
2401,Blois,1975,63.97
2401,Blois,1982,68.13
2401,Blois,1990,72.3
2401,Blois,1999,74.98
2401,Blois,2007,78.3
2401,Blois,2008,78.3
2401,Blois,2012,79.82
2401,Blois,2013,79.91
2401,Blois,2017,80.61
2401,Blois,2018,80.31
2402,Bourges,1968,48.24
2402,Bourges,1975,51.43
2402,Bourges,1982,52.65
2402,Bourges,1990,53.51
2402,Bourges,1999,52.57
2402,Bourges,2007,52.85
2402,Bourges,2008,52.48
2402,Bourges,2012,52.5
2402,Bourges,2013,52.51
2402,Bourges,2017,51.42
2402,Bourges,2018,51.41
2403,Chartres,1968,59.08
2403,Chartres,1975,68.16
2403,Chartres,1982,75.63
2403,Chartres,1990,84.85
2403,Chartres,1999,89.43
2403,Chartres,2007,92.31
2403,Chartres,2008,92.72
2403,Chartres,2012,95.44
2403,Chartres,2013,95.62
2403,Chartres,2017,96.72
2403,Chartres,2018,96.77
2404,Châteaudun,1968,40.43
2404,Châteaudun,1975,40.29
2404,Châteaudun,1982,40.23
2404,Châteaudun,1990,39.38
2404,Châteaudun,1999,39.1
2404,Châteaudun,2007,39.91
2404,Châteaudun,2008,40.22
2404,Châteaudun,2012,40.46
2404,Châteaudun,2013,40.58
2404,Châteaudun,2017,40.16
2404,Châteaudun,2018,39.76
2405,Châteauroux,1968,37.15
2405,Châteauroux,1975,37.52
2405,Châteauroux,1982,36.72
2405,Châteauroux,1990,36
2405,Châteauroux,1999,35.12
2405,Châteauroux,2007,35.43
2405,Châteauroux,2008,35.31
2405,Châteauroux,2012,34.8
2405,Châteauroux,2013,34.72
2405,Châteauroux,2017,33.86
2405,Châteauroux,2018,33.64
2406,Chinon,1968,49.22
2406,Chinon,1975,48.73
2406,Chinon,1982,51.89
2406,Chinon,1990,52.24
2406,Chinon,1999,52.71
2406,Chinon,2007,53.12
2406,Chinon,2008,53.21
2406,Chinon,2012,53.18
2406,Chinon,2013,53.14
2406,Chinon,2017,52.87
2406,Chinon,2018,52.66
2407,Gien,1968,28.76
2407,Gien,1975,30.4
2407,Gien,1982,33.13
2407,Gien,1990,33.92
2407,Gien,1999,34.1
2407,Gien,2007,35.04
2407,Gien,2008,35.16
2407,Gien,2012,34.77
2407,Gien,2013,34.76
2407,Gien,2017,34.01
2407,Gien,2018,33.69
2408,Loches,1968,29.93
2408,Loches,1975,27.99
2408,Loches,1982,27.08
2408,Loches,1990,26.35
2408,Loches,1999,25.92
2408,Loches,2007,26.22
2408,Loches,2008,26.3
2408,Loches,2012,26.48
2408,Loches,2013,26.41
2408,Loches,2017,25.85
2408,Loches,2018,25.57
2409,Montargis,1968,51.25
2409,Montargis,1975,54.4
2409,Montargis,1982,58.08
2409,Montargis,1990,61.41
2409,Montargis,1999,64.66
2409,Montargis,2007,69.22
2409,Montargis,2008,69.47
2409,Montargis,2012,70.95
2409,Montargis,2013,71.27
2409,Montargis,2017,71.36
2409,Montargis,2018,71.41
2410,Orléans,1968,84.97
2410,Orléans,1975,99.88
2410,Orléans,1982,109.46
2410,Orléans,1990,119.98
2410,Orléans,1999,129.31
2410,Orléans,2007,134.96
2410,Orléans,2008,135.68
2410,Orléans,2012,138.17
2410,Orléans,2013,138.94
2410,Orléans,2017,142.97
2410,Orléans,2018,143.41
2411,Pithiviers,1968,39.62
2411,Pithiviers,1975,42.02
2411,Pithiviers,1982,44.27
2411,Pithiviers,1990,47.79
2411,Pithiviers,1999,50.65
2411,Pithiviers,2007,53.31
2411,Pithiviers,2008,53.67
2411,Pithiviers,2012,55.59
2411,Pithiviers,2013,55.86
2411,Pithiviers,2017,56.84
2411,Pithiviers,2018,56.77
2412,Romorantin-Lanthenay,1968,33.07
2412,Romorantin-Lanthenay,1975,34.65
2412,Romorantin-Lanthenay,1982,35.71
2412,Romorantin-Lanthenay,1990,35.73
2412,Romorantin-Lanthenay,1999,36.03
2412,Romorantin-Lanthenay,2007,36.71
2412,Romorantin-Lanthenay,2008,36.72
2412,Romorantin-Lanthenay,2012,36.88
2412,Romorantin-Lanthenay,2013,36.91
2412,Romorantin-Lanthenay,2017,36.58
2412,Romorantin-Lanthenay,2018,36.45
2413,Tours,1968,97.46
2413,Tours,1975,110.12
2413,Tours,1982,117.51
2413,Tours,1990,124.22
2413,Tours,1999,131.2
2413,Tours,2007,139.06
2413,Tours,2008,139.62
2413,Tours,2012,142.71
2413,Tours,2013,143.68
2413,Tours,2017,145.77
2413,Tours,2018,146.3
2414,Vendôme,1968,39.03
2414,Vendôme,1975,39.18
2414,Vendôme,1982,39.96
2414,Vendôme,1990,40.19
2414,Vendôme,1999,41.28
2414,Vendôme,2007,42.34
2414,Vendôme,2008,42.45
2414,Vendôme,2012,42.93
2414,Vendôme,2013,42.9
2414,Vendôme,2017,41.96
2414,Vendôme,2018,41.46
2415,Vierzon,1968,57.99
2415,Vierzon,1975,60.22
2415,Vierzon,1982,60.37
2415,Vierzon,1990,59.52
2415,Vierzon,1999,56.4
2415,Vierzon,2007,55.2
2415,Vierzon,2008,55.16
2415,Vierzon,2012,55.19
2415,Vierzon,2013,55.24
2415,Vierzon,2017,53.53
2415,Vierzon,2018,53.22
2701,Autun,1968,35.21
2701,Autun,1975,34.19
2701,Autun,1982,33.17
2701,Autun,1990,31.41
2701,Autun,1999,29.9
2701,Autun,2007,28.87
2701,Autun,2008,28.75
2701,Autun,2012,28.06
2701,Autun,2013,27.84
2701,Autun,2017,27.09
2701,Autun,2018,26.93
2702,Auxerre,1968,43.49
2702,Auxerre,1975,46.55
2702,Auxerre,1982,48.15
2702,Auxerre,1990,49.25
2702,Auxerre,1999,50.14
2702,Auxerre,2007,50.9
2702,Auxerre,2008,50.89
2702,Auxerre,2012,50.27
2702,Auxerre,2013,50.12
2702,Auxerre,2017,49.35
2702,Auxerre,2018,49.18
2703,Avallon,1968,21.39
2703,Avallon,1975,20.6
2703,Avallon,1982,19.68
2703,Avallon,1990,19.03
2703,Avallon,1999,18.75
2703,Avallon,2007,18.52
2703,Avallon,2008,18.49
2703,Avallon,2012,18.18
2703,Avallon,2013,18.02
2703,Avallon,2017,17.19
2703,Avallon,2018,16.98
2704,Beaune,1968,45.92
2704,Beaune,1975,46.97
2704,Beaune,1982,49.32
2704,Beaune,1990,51.38
2704,Beaune,1999,52.59
2704,Beaune,2007,54.24
2704,Beaune,2008,54.8
2704,Beaune,2012,55.4
2704,Beaune,2013,55.46
2704,Beaune,2017,54.7
2704,Beaune,2018,54.33
2705,Belfort,1968,124.73
2705,Belfort,1975,134.42
2705,Belfort,1982,140.36
2705,Belfort,1990,141.71
2705,Belfort,1999,144.67
2705,Belfort,2007,150.94
2705,Belfort,2008,150.95
2705,Belfort,2012,153
2705,Belfort,2013,153.11
2705,Belfort,2017,151.63
2705,Belfort,2018,150.89
2706,Besançon,1968,62.79
2706,Besançon,1975,68.68
2706,Besançon,1982,70.68
2706,Besançon,1990,74.16
2706,Besançon,1999,78.62
2706,Besançon,2007,83.57
2706,Besançon,2008,83.95
2706,Besançon,2012,85.07
2706,Besançon,2013,85.59
2706,Besançon,2017,86.46
2706,Besançon,2018,86.81
2707,Chalon-sur-Saône,1968,84
2707,Chalon-sur-Saône,1975,92.4
2707,Chalon-sur-Saône,1982,95.44
2707,Chalon-sur-Saône,1990,98.08
2707,Chalon-sur-Saône,1999,99.8
2707,Chalon-sur-Saône,2007,103.3
2707,Chalon-sur-Saône,2008,103.72
2707,Chalon-sur-Saône,2012,105.01
2707,Chalon-sur-Saône,2013,105.78
2707,Chalon-sur-Saône,2017,106.31
2707,Chalon-sur-Saône,2018,106.16
2708,Charolais,1968,41.89
2708,Charolais,1975,42.29
2708,Charolais,1982,40.94
2708,Charolais,1990,38.43
2708,Charolais,1999,36.12
2708,Charolais,2007,35.6
2708,Charolais,2008,35.64
2708,Charolais,2012,35.2
2708,Charolais,2013,35.09
2708,Charolais,2017,34.47
2708,Charolais,2018,34.29
2709,Châtillon-Montbard,1968,22.59
2709,Châtillon-Montbard,1975,21.77
2709,Châtillon-Montbard,1982,21.69
2709,Châtillon-Montbard,1990,21.01
2709,Châtillon-Montbard,1999,20.27
2709,Châtillon-Montbard,2007,19.85
2709,Châtillon-Montbard,2008,19.85
2709,Châtillon-Montbard,2012,19.73
2709,Châtillon-Montbard,2013,19.63
2709,Châtillon-Montbard,2017,19.16
2709,Châtillon-Montbard,2018,19.01
2710,Creusot-Montceau,1968,107.06
2710,Creusot-Montceau,1975,109.09
2710,Creusot-Montceau,1982,109
2710,Creusot-Montceau,1990,102.28
2710,Creusot-Montceau,1999,94.77
2710,Creusot-Montceau,2007,90.59
2710,Creusot-Montceau,2008,90.27
2710,Creusot-Montceau,2012,88.99
2710,Creusot-Montceau,2013,88.62
